键  英文    中文
accessibility.onboarding.accessibility.button	Accessibility Settings...	辅助功能设置…
accessibility.onboarding.screen.narrator	Press enter to enable the narrator	按下Enter键启用复述功能
accessibility.onboarding.screen.title	Welcome to Minecraft!\n\nWould you like to enable the Narrator or visit the Accessibility Settings?	欢迎进入Minecraft！\n\n需要启用复述功能或访问辅助功能设置吗？
addServer.add	Done	完成
addServer.enterIp	Server Address	服务器地址
addServer.enterName	Server Name	服务器名称
addServer.hideAddress	Hide Address	隐藏地址
addServer.resourcePack	Server Resource Packs	服务器资源包
addServer.resourcePack.disabled	Disabled	禁用
addServer.resourcePack.enabled	Enabled	启用
addServer.resourcePack.prompt	Prompt	询问
addServer.title	Edit Server Info	编辑服务器信息
advancement.advancementNotFound	Unknown advancement: %s	未知的进度：%s
advancements.adventure.adventuring_time.description	Discover every biome	发现所有的生物群系
advancements.adventure.adventuring_time.title	Adventuring Time	探索的时光
advancements.adventure.arbalistic.description	Kill five unique mobs with one crossbow shot	用弩一发击杀五只不同的生物
advancements.adventure.arbalistic.title	Arbalistic	劲弩手
advancements.adventure.avoid_vibration.description	Sneak near a Sculk Sensor or Warden to prevent it from detecting you	在幽匿感测体或监守者周围潜行以防被它们探测到
advancements.adventure.avoid_vibration.title	Sneak 100	潜行100级
advancements.adventure.blowback.description	Kill a Breeze with a deflected Breeze-shot Wind Charge	反弹旋风人的风弹来击杀旋风人
advancements.adventure.blowback.title	Blowback	逆风翻盘
advancements.adventure.brush_armadillo.description	Get Armadillo Scutes from an Armadillo using a Brush	用刷子从犰狳身上获得犰狳鳞甲
advancements.adventure.brush_armadillo.title	Isn't It Scute?	这不是鳞甲么？
advancements.adventure.bullseye.description	Hit the bullseye of a Target block from at least 30 meters away	从至少30米外射中标靶的靶心
advancements.adventure.bullseye.title	Bullseye	正中靶心
advancements.adventure.craft_decorated_pot_using_only_sherds.description	Make a Decorated Pot out of 4 Pottery Sherds	用4个陶片制作饰纹陶罐
advancements.adventure.craft_decorated_pot_using_only_sherds.title	Careful Restoration	精修细补
advancements.adventure.crafters_crafting_crafters.description	Be near a Crafter when it crafts a Crafter	靠近一个正在合成合成器的合成器
advancements.adventure.crafters_crafting_crafters.title	Crafters Crafting Crafters	合成器合成合成器
advancements.adventure.fall_from_world_height.description	Free fall from the top of the world (build limit) to the bottom of the world and survive	从世界顶部（建筑高度限制处）自由落体，坠至世界底部并存活下来
advancements.adventure.fall_from_world_height.title	Caves & Cliffs	上天入地
advancements.adventure.hero_of_the_village.description	Successfully defend a village from a raid	成功在袭击中保卫村庄
advancements.adventure.hero_of_the_village.title	Hero of the Village	村庄英雄
advancements.adventure.honey_block_slide.description	Jump into a Honey Block to break your fall	跳入蜂蜜块以缓冲摔落
advancements.adventure.honey_block_slide.title	Sticky Situation	胶着状态
advancements.adventure.kill_a_mob.description	Kill any hostile monster	杀死任意敌对性怪物
advancements.adventure.kill_a_mob.title	Monster Hunter	怪物猎人
advancements.adventure.kill_all_mobs.description	Kill one of every hostile monster	杀死每一种敌对性怪物
advancements.adventure.kill_all_mobs.title	Monsters Hunted	资深怪物猎人
advancements.adventure.kill_mob_near_sculk_catalyst.description	Kill a mob near a Sculk Catalyst	在幽匿催发体附近杀死生物
advancements.adventure.kill_mob_near_sculk_catalyst.title	It Spreads	它蔓延了
advancements.adventure.lighten_up.description	Scrape a Copper Bulb with an Axe to make it brighter	用斧刮削铜灯来让它变得更亮
advancements.adventure.lighten_up.title	Lighten Up	铜光焕发
advancements.adventure.lightning_rod_with_villager_no_fire.description	Protect a Villager from an undesired shock without starting a fire	在不引发火灾的前提下保护村民免受雷击
advancements.adventure.lightning_rod_with_villager_no_fire.title	Surge Protector	电涌保护器
advancements.adventure.minecraft_trials_edition.description	Step foot in a Trial Chamber	踏入试炼密室
advancements.adventure.minecraft_trials_edition.title	Minecraft: Trial(s) Edition	Minecraft：试炼版
advancements.adventure.ol_betsy.description	Shoot a Crossbow	用弩进行一次射击
