类型,key,English,English,English,简体中文,例子,简体中文,例子,简体中文,例子,来源,备注,释义
创造模式选项卡,itemGroup.brewing,Brewing,,,酿造,,,,,,语言文件,,
创造模式选项卡,itemGroup.buildingBlocks,Building Blocks,,,建筑方块,,,,,,语言文件,,
创造模式选项卡,itemGroup.combat,Combat,,,战斗用品,,,,,,语言文件,,
创造模式选项卡,itemGroup.decorations,Decoration Blocks,,,装饰性方块,,,,,,语言文件,,
创造模式选项卡,itemGroup.food,Foodstuffs,,,食物,,,,,,语言文件,,
创造模式选项卡,itemGroup.hotbar,Saved Hotbars,,,已保存的快捷栏,,,,,,语言文件,,
创造模式选项卡,itemGroup.inventory,Survival Inventory,,,生存模式物品栏,,,,,,语言文件,,
创造模式选项卡,itemGroup.materials,Materials,,,材料,,,,,,语言文件,,
创造模式选项卡,itemGroup.misc,Miscellaneous,,,杂项,,,,,,语言文件,,
创造模式选项卡,itemGroup.redstone,Redstone,,,红石,,,,,,语言文件,,
创造模式选项卡,itemGroup.search,Search Items,,,搜索物品,,,,,,语言文件,,
创造模式选项卡,itemGroup.tools,Tools,,,工具,,,,,,语言文件,,
创造模式选项卡,itemGroup.transportation,Transportation,,,交通运输,,,,,,语言文件,,
进度,advancements.adventure.adventuring_time.title,Adventuring Time,,,探索的时光,,,,,,语言文件,,
进度,advancements.adventure.arbalistic.title,Arbalistic,,,劲弩手,,,,,,语言文件,,
进度,advancements.adventure.bullseye.title,Bullseye,,,正中靶心,,,,,,语言文件,,
进度,advancements.adventure.fall_from_world_height.title,Caves & Cliffs,,,上天入地,,,,,,语言文件,,
进度,advancements.adventure.hero_of_the_village.title,Hero of the Village,,,村庄英雄,,,,,,语言文件,,
进度,advancements.adventure.honey_block_slide.title,Sticky Situation,,,胶着状态,,,,,,语言文件,,
进度,advancements.adventure.kill_a_mob.title,Monster Hunter,,,怪物猎人,,,,,,语言文件,,
进度,advancements.adventure.kill_all_mobs.title,Monsters Hunted,,,资深怪物猎人,,,,,,语言文件,,
进度,advancements.adventure.lightning_rod_with_villager_no_fire.title,Surge Protector,,,电涌保护器,,,,,,语言文件,,
进度,advancements.adventure.ol_betsy.title,Ol' Betsy,,,扣下悬刀,,,,,,语言文件,,
进度,advancements.adventure.play_jukebox_in_meadows.title,Sound of Music,,,音乐之声,,,,,,语言文件,,
进度,advancements.adventure.shoot_arrow.title,Take Aim,,,瞄准目标,,,,,,语言文件,,
进度,advancements.adventure.sleep_in_bed.title,Sweet Dreams,,,甜蜜的梦,,,,,,语言文件,,
进度,advancements.adventure.sniper_duel.title,Sniper Duel,,,狙击手的对决,,,,,,语言文件,,
进度,advancements.adventure.spyglass_at_dragon.title,Is It a Plane?,,,那是飞机吗？,,,,,,语言文件,,
进度,advancements.adventure.spyglass_at_ghast.title,Is It a Balloon?,,,那是气球吗？,,,,,,语言文件,,
进度,advancements.adventure.spyglass_at_parrot.title,Is It a Bird?,,,那是鸟吗？,,,,,,语言文件,,
进度,advancements.adventure.summon_iron_golem.title,Hired Help,,,招募援兵,,,,,,语言文件,,
