Term	Translation	Remark	TermSorce	TransaltionSource
Sky Slime	碧空黏液		Tinkers' Construct	Official
Ender Slime	末影黏液		Tinkers' Construct	Official
Ichor	灵浆		Tinkers' Construct	Official
Greenheart	绿心		Tinkers' Construct	Official
Skyroot	天根		Tinkers' Construct	Official
Bloodshroom	血菌		Tinkers' Construct	Official
Necrotic Bone	噬生之骨		Tinkers' Construct	Official
Seared Stone	焦黑石		Tinkers' Construct	Official
Scorched Stone	焦褐石		Tinkers' Construct	Official
Slimewood	黏木		Tinkers' Construct	Official
Blood Bone	血之骨		Tinkers' Construct	Official
Slimesteel	黏钢		Tinkers' Construct	Official
Nahuatl	纳瓦特尔		Tinkers' Construct	Official
Amethyst Bronze	紫水晶青铜		Minecraft	Official
Darkthread	黑耀丝线		Tinkers' Construct	Official
Ardite	阿迪特		Tinkers' Construct	Official
Manyullyn	玛玉灵		Tinkers' Construct	Official
Hepatizon	黑色科林斯青铜		Tinkers' Construct	Official
Queen Slime	皇后史莱姆		Tinkers' Construct	Official
Blazing Bone	烈焰之骨		Tinkers' Construct	Official
Soulsteel	魂钢		Tinkers' Construct	Official
Ancient Hide	远古兽皮		Tinkers' Construct	Official
Knightsteel	骑士史莱姆		Tinkers' Construct	Official
Whitestone	白石		Tinkers' Construct	Official
Necronium	辐射之骨		Tinkers' Construct	Official
Plated Slimewood	复合黏木		Tinkers' Construct	Official
Earth Slime	黏液		Tinkers' Construct	Official
Dark Steel	玄钢		EnderIO	Official
End Steel	末地钢		EnderIO	Official
Pulsating Alloy	脉冲合金		EnderIO	Official
Conductive Alloy	导电合金		EnderIO	Official
Redstone Alloy	红石合金		EnderIO	Official
Nutrient Distillation	营养精华液		EnderIO	Official
Cloud Seed	云之精华		EnderIO	Official
Energetic Alloy	充能合金		EnderIO	Official
Soularium	魂金		EnderIO	Official
Certus Quartz	赛特斯石英		Applied Energistics 2	Official
Fluix	福鲁伊克斯		Applied Energistics 2	Official
Redstone Acid	红石酸		Immersive Engineering	Official
Dreamwood	梦之木		Botania	Official
Livingwood	活木		Botania	Official
Manasteel	魔力钢		Botania	Official
Terrasteel	泰拉钢		Botania	Official
Dragonstone	龙石		Botania	Official
UU-Matter	UU物质		Industrial Craft 2	Official
Lapotron	兰波顿		Industrial Craft 2	Official
Alchemical Coal	炼金煤炭		ProjectE	Official
Mobius Fuel	莫比乌斯燃料		ProjectE	Official
Aeternalis Fuel	永恒燃料		ProjectE	Official
Red Matter	红物质		ProjectE	Official
Dark Matter	暗物质		ProjectE	Official
Sunnarium	阳光化合物		Advanced Solar Panels	CFPA
Irradiant Uranium	光辉铀		Advanced Solar Panels	CFPA
Vinteum	温特姆		Ars Magica	Null
Chimerite	精灵		Ars Magica	Null
Blue Topaz	蓝晶		Ars Magica	Null
Binding Catalyst	具现化触媒		Ars Magica	Null
Blue Steel	蓝钢		TerraFirmaCraft	Official
Unknown	未知		TerraFirmaCraft	Official
Desh	戴斯		Ad Astra	Official
Calorite	耐热金属		Ad Astra	CFPA
Calorite	耐热合金		Ad Astra	Official
Ostrum	紫金		Ad Astra	Official
Tiberium	泰伯利亚		Tinkers Alloying Addon	CFPA
Dilithium	双锂		Tinkers Alloying Addon	CFPA
Aurorium	极光金属		Tinkers Alloying Addon	CFPA
Duranite	杜兰特		Tinkers Alloying Addon	CFPA
Valyrium	瓦雷利亚		Tinkers Alloying Addon	CFPA
Vibranium	振金		Tinkers Alloying Addon	CFPA
Karmesine	绯红铁		Tinkers Alloying Addon	CFPA
Jauxum	若氏铁		Tinkers Alloying Addon	CFPA
Ovium	欧维姆		Tinkers Alloying Addon	CFPA
