key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
language.name	English	简体中文	繁體中文		日本語
language.region	United States	中国	台灣		日本
language.code	en_us	zh_cn	zh_tw		ja_jp
gui.done	Done	完成	完成		完了
gui.cancel	Cancel	取消	取消		キャンセル
gui.back	Back	返回	返回		戻る
gui.toTitle	Back to title screen	回到标题画面	回到標題畫面		タイトル画面へ戻る
gui.toMenu	Back to server list	回到服务器列表	返回伺服器列表		サーバーリストへ戻る
gui.up	Up	向上	上		上
gui.down	Down	向下	下		下
gui.yes	Yes	是	是		はい
gui.no	No	否	否		いいえ
gui.none	None	无	無		なし
gui.all	All	全部	全部		すべて
gui.recipebook.moreRecipes	Right Click for more	右击以获取更多信息	右鍵點擊以瞭解更多		右クリックで詳細を表示
gui.recipebook.toggleRecipes.all	Showing all	显示全部	已列出所有項目		すべてのアイテムを表示中
gui.recipebook.toggleRecipes.craftable	Showing craftable	仅显示可合成	已列出可合成項目		クラフト可能なアイテムを表示中
translation.test.none	Hello, world!	你好，世界！	你好，世界！		Hello, world!
translation.test.complex	Prefix, %s%2$s again %s and %1$s lastly %s and also %1$s again!	前缀，%s%2$s 然后是 %s 和 %1$s 最后是 %s 还有 %1$s！	Prefix, %s%2$s again %s and %1$s lastly %s and also %1$s again!		Prefix, %s%2$s again %s and %1$s lastly %s and also %1$s again!
translation.test.escape	%%s %%%s %%%%s %%%%%s	%%s %%%s %%%%s %%%%%s	%%s %%%s %%%%s %%%%%s		%%s %%%s %%%%s %%%%%s
translation.test.invalid	hi %	% 你好	% 你好		hi %
translation.test.invalid2	hi %  s	%s 你好	你好 %s		hi %s
translation.test.args	%s %s	%s %s	%s %s		%s %s
translation.test.world	world	世界	世界		world
menu.game	Game Menu	游戏菜单	遊戲目錄		ゲームメニュー
menu.singleplayer	Singleplayer	单人游戏	單人遊戲		シングルプレイ
menu.multiplayer	Multiplayer	多人游戏	多人遊戲		マルチプレイ
menu.online	Minecraft Realms	Minecraft Realms	Minecraft Realms		Minecraft Realms
menu.options	Options...	选项…	選項...		設定…
menu.quit	Quit Game	退出游戏	離開遊戲		終了
menu.returnToMenu	Save and Quit to Title	保存并退回到标题画面	儲存並回到標題畫面		セーブしてタイトルへ戻る
menu.disconnect	Disconnect	断开连接	中斷連線		切断
menu.returnToGame	Back to Game	回到游戏	繼續遊戲		ゲームに戻る
menu.generatingLevel	Generating world	生成世界中	生成世界中		ワールドを生成中
menu.loadingLevel	Loading world	加载世界中	正在載入世界		ワールドを読み込み中
menu.generatingTerrain	Building terrain	生成地形中	建構地形中		地形情報を生成中
menu.convertingLevel	Converting world	转换世界中	轉換世界中		ワールドを変換中
menu.respawning	Respawning	重生中	重生中		リスポーン中
menu.shareToLan	Open to LAN	对局域网开放	在區網上公開		LAN に公開
selectWorld.title	Select World	选择世界	選擇世界		ワールドを選択
selectWorld.empty	empty	空	空		未選択
selectWorld.world	World	世界	世界		ワールド
selectWorld.select	Play Selected World	进入选中的世界	進入所選的世界		選択したワールドで遊ぶ
selectWorld.create	Create New World	创建新的世界	建立新的世界		ワールド新規作成
selectWorld.recreate	Re-Create	重建	重新建立		再生成
selectWorld.createDemo	Play New Demo World	进入新的试玩世界	進入新的試玩世界		新しいデモワールドで遊ぶ
selectWorld.delete	Delete	删除	刪除		削除
selectWorld.edit	Edit	编辑	編輯		編集
selectWorld.edit.title	Edit World	编辑世界	編輯世界		ワールドを編集
selectWorld.edit.resetIcon	Reset Icon	重置图标	重設圖示		アイコンをリセット
selectWorld.edit.openFolder	Open Folder	打开文件夹	開啟資料夾		フォルダーを開く
selectWorld.edit.save	Save World	保存世界	儲存世界		ワールドを保存
selectWorld.deleteQuestion	Are you sure you want to delete this world?	你确定要删除这个世界吗？	你確定要刪除這個世界嗎？		このワールドを削除してもよろしいですか？
selectWorld.deleteWarning	will be lost forever! (A long time!)	将会永久失去！（真的很久！）	將會永遠消失！（非常久！）		は完全に削除され、二度と元に戻せません！
selectWorld.deleteButton	Delete	删除	刪除		削除
selectWorld.conversion	Must be converted!	必须进行转换！	必須被轉換！		ワールドデータを変換する必要があります
selectWorld.newWorld	New World	新的世界	新的世界		新規ワールド
selectWorld.newWorld.copyOf	Copy of %s	%s的副本	%s 的拷貝		%s のコピー
selectWorld.enterName	World Name	世界名称	世界名稱		ワールド名
selectWorld.resultFolder	Will be saved in:	将会保存于：	將被儲存於：		保存先：
selectWorld.enterSeed	Seed for the world generator	世界生成器的种子	世界生成種子碼		ワールド生成のシード値
selectWorld.seedInfo	Leave blank for a random seed	留空以生成随机种子	若不填則隨機生成種子碼		空白でランダムシード値
selectWorld.cheats	Cheats	作弊	允許作弊		チート
selectWorld.customizeType	Customize	自定义	自定義		カスタマイズ
selectWorld.version	Version:	版本：	版本：		バージョン：
selectWorld.versionUnknown	unknown	未知	未知		不明
selectWorld.versionQuestion	Do you really want to load this world?	你真的想加载此世界吗？	你確定要載入這個世界嗎？		このワールドを読み込んでもよろしいですか？
selectWorld.versionWarning	This world was saved in version '%s' and loading it in this version could cause corruption!	此世界是在'%s'版本中保存的，在此版本中加载可能会导致数据损坏！	這個世界儲存於 '%s' 版本，在這個版本載入它可能會導致毀損！		このワールドはバージョン「%s」で保存されています。現在のバージョンでこのワールドを読み込むと、データが破損してしまう可能性があります。
selectWorld.versionJoinButton	Use Anyway	仍然加载	繼續載入		構わず使用する
selectWorld.tooltip.fromNewerVersion1	World was saved in a newer version,	世界是在更新的版本中被保存的，	世界曾經在較新的版本儲存，		このワールドは、現在より新しいバージョンで保存されています。
selectWorld.tooltip.fromNewerVersion2	loading this world could cause problems!	加载这个世界可能会产生问题！	載入這個世界可能會導致出現問題！		古いバージョンでこのワールドを読み込むと、データが破損する可能性があります。
selectWorld.tooltip.snapshot1	Don't forget to backup this world	在你在这个快照中加载它之前，	在你載入這個快照之前		このワールドを読み込む前に
selectWorld.tooltip.snapshot2	before you load it in this snapshot.	不要忘了备份这个世界！	別忘了先備份這個世界。		バックアップを取ることを推奨します。
selectWorld.unable_to_load	Unable to load worlds	无法加载世界	無法載入世界		ワールドを読み込めません
selectWorld.load_folder_access	Unable to read or access folder where game worlds are saved!	无法读取或访问游戏世界存档所在的文件夹！	無法載入或存取遊戲世界存檔所在的資料夾！		ワールドのフォルダの読み込みまたは書き込みができません。
createWorld.customize.presets	Presets	预设	方案集		プリセット
createWorld.customize.presets.title	Select a Preset	选择一个预设	選擇一種方案		プリセットの選択
createWorld.customize.presets.select	Use Preset	使用预设	使用此方案		プリセットを使用
createWorld.customize.presets.share	Want to share your preset with someone? Use the below box!	想要与别人分享你的预设方案吗？使用下面的输入框吧！	想與人分享您的方案嗎？請使用下方的文字框！		プリセットをどなたかと共有したいですか？この入力欄を使ってください！
createWorld.customize.presets.list	Alternatively, here's some we made earlier!	另外，这里是些我们早期制作好的！	您也可以選擇我們預先製作的方案！		もしくは、次のプリセットから選んでください！
createWorld.customize.flat.title	Superflat Customization	自定义超平坦世界	自定義超平坦世界		スーパーフラットのカスタマイズ
createWorld.customize.flat.tile	Layer Material	此层的材料	地層組成		地層の構成物
createWorld.customize.flat.height	Height	高度	高度		高さ
createWorld.customize.flat.addLayer	Add Layer	添加层面	增加地層		地層を追加
createWorld.customize.flat.editLayer	Edit Layer	编辑层面	編輯地層		地層を編集
createWorld.customize.flat.removeLayer	Remove Layer	移除层面	移除地層		地層を削除
createWorld.customize.flat.layer.top	Top - %s	顶层 - %s	頂層 - %s		最上層 - %s
createWorld.customize.flat.layer	%s	%s	%s		%s
createWorld.customize.flat.layer.bottom	Bottom - %s	底层 - %s	底層 - %s		最下層 - %s
createWorld.customize.preset.classic_flat	Classic Flat	经典平坦	經典平坦		クラシックフラット
createWorld.customize.preset.tunnelers_dream	Tunnelers' Dream	挖掘工的梦想	隧道工人的夢想		採掘家の夢
createWorld.customize.preset.water_world	Water World	水世界	水世界		水の世界
createWorld.customize.preset.overworld	Overworld	主世界	主世界		オーバーワールド
createWorld.customize.preset.snowy_kingdom	Snowy Kingdom	雪之王国	雪之王國		雪の王国
createWorld.customize.preset.bottomless_pit	Bottomless Pit	无底深渊	無底深淵		底無し穴
createWorld.customize.preset.desert	Desert	沙漠	沙漠		砂漠
createWorld.customize.preset.redstone_ready	Redstone Ready	红石俱备	為紅石準備		レッドストーン実験所
createWorld.customize.preset.the_void	The Void	虚空	虛空		奈落
createWorld.customize.custom.page0	Basic Settings	基本设置	基本設定		基本設定
createWorld.customize.custom.page1	Ore Settings	矿物设置	礦物設定		鉱石の設定
createWorld.customize.custom.page2	Advanced Settings (Expert Users Only!)	高级设置（仅限高级用户）	進階設定（僅供專業玩家！）		高度な設定（上級者向け！）
createWorld.customize.custom.page3	Extra Advanced Settings (Expert Users Only!)	额外高级设置 (仅限高级用户)	更多進階設定（僅供專業玩家！）		更に高度な設定（上級者向け！）
createWorld.customize.custom.randomize	Randomize	随机	隨機		ランダム化
createWorld.customize.custom.prev	Previous Page	上一页	上一頁		前のページへ
createWorld.customize.custom.next	Next Page	下一页	下一頁		次のページへ
createWorld.customize.custom.defaults	Defaults	默认	預設值		デフォルトに戻す
createWorld.customize.custom.confirm1	This will overwrite your current	这将覆盖你的当前	這樣將會取代你目前的		現在の設定を上書きします。
createWorld.customize.custom.confirm2	settings and cannot be undone.	设置且不能恢复。	設定且無法復原。		元に戻すことはできません。
createWorld.customize.custom.confirmTitle	Warning!	警告！	警告！		警告！
createWorld.customize.custom.mainNoiseScaleX	Main Noise Scale X	主地形差异值 X	主雜訊比例 X		主要ノイズ規模 X
createWorld.customize.custom.mainNoiseScaleY	Main Noise Scale Y	主地形差异值 Y	主雜訊比例 Y		主要ノイズ規模 Y
createWorld.customize.custom.mainNoiseScaleZ	Main Noise Scale Z	主地形差异值 Z	主雜訊比例 Z		主要ノイズ規模 Z
createWorld.customize.custom.depthNoiseScaleX	Depth Noise Scale X	X轴高度差异值	深度雜訊比例 X		深度ノイズ規模 X
createWorld.customize.custom.depthNoiseScaleZ	Depth Noise Scale Z	Z轴高度差异值	深度雜訊比例 Z		深度ノイズ規模 Z
createWorld.customize.custom.depthNoiseScaleExponent	Depth Noise Exponent	高度差异指数	深度雜訊指數		深度ノイズ指数
createWorld.customize.custom.baseSize	Depth Base Size	基准深度大小	深度基準大小		深度基本量
createWorld.customize.custom.coordinateScale	Coordinate Scale	平面比例	橫向座標比例		座標尺
createWorld.customize.custom.heightScale	Height Scale	高度比例	縱向高度比例		高度規模
createWorld.customize.custom.stretchY	Height Stretch	高度伸展	高度伸展程度		高度伸長
createWorld.customize.custom.upperLimitScale	Upper Limit Scale	规模上限	上限比例		規模上限
createWorld.customize.custom.lowerLimitScale	Lower Limit Scale	规模下限	下限比例		規模下限
createWorld.customize.custom.biomeDepthWeight	Biome Depth Weight	生物群系深度比重	生態域深度比重		バイオーム深度比重
createWorld.customize.custom.biomeDepthOffset	Biome Depth Offset	生物群系深度补偿	生態域深度偏移		バイオーム深度偏差
createWorld.customize.custom.biomeScaleWeight	Biome Scale Weight	生物群系规模比重	生態域大小比重		バイオーム規模比重
createWorld.customize.custom.biomeScaleOffset	Biome Scale Offset	生物群系规模补偿	生態域大小偏移		バイオーム規模偏差
createWorld.customize.custom.seaLevel	Sea Level	海平面	海平面		海面高度
createWorld.customize.custom.useCaves	Caves	洞穴	洞穴		洞窟
createWorld.customize.custom.useStrongholds	Strongholds	要塞	要塞		要塞
createWorld.customize.custom.useVillages	Villages	村庄	村莊		村
createWorld.customize.custom.useMineShafts	Mineshafts	废弃矿井	礦坑		廃坑
createWorld.customize.custom.useTemples	Temples	神庙	神殿		寺院
createWorld.customize.custom.useMonuments	Ocean Monuments	海底遗迹	海底遺跡		海底神殿
createWorld.customize.custom.useMansions	Woodland Mansions	林地府邸	綠林府邸		森の洋館
createWorld.customize.custom.useRavines	Ravines	峡谷	峽谷		峡谷
createWorld.customize.custom.useDungeons	Dungeons	地牢	地牢		ダンジョン
createWorld.customize.custom.dungeonChance	Dungeon Count	地牢数量	地牢數量		ダンジョンの数
createWorld.customize.custom.useWaterLakes	Water Lakes	湖泊	湖泊		池
createWorld.customize.custom.waterLakeChance	Water Lake Rarity	湖泊密度	湖泊稀有程度		池の希少度
createWorld.customize.custom.useLavaLakes	Lava Lakes	熔岩湖	熔岩湖		溶岩湖
createWorld.customize.custom.lavaLakeChance	Lava Lake Rarity	熔岩湖密度	熔岩湖稀有程度		溶岩湖の希少度
createWorld.customize.custom.useLavaOceans	Lava Oceans	熔岩海	熔岩海		溶岩の海
createWorld.customize.custom.fixedBiome	Biome	生物群系	生態域		バイオーム
createWorld.customize.custom.biomeSize	Biome Size	生物群系规模	生態域大小		バイオームの大きさ
createWorld.customize.custom.riverSize	River Size	河的规模	河流大小		川の大きさ
createWorld.customize.custom.size	Spawn Size	生成规模	生成規模		最大生成数
createWorld.customize.custom.count	Spawn Tries	生成尝试次数	嘗試生成次數		生成頻度
createWorld.customize.custom.minHeight	Min. Height	最低高度	高度下限		高度下限
createWorld.customize.custom.maxHeight	Max. Height	最高高度	高度上限		高度上限
createWorld.customize.custom.center	Center Height	中心高度	中心高度		中心高度
createWorld.customize.custom.spread	Spread Height	扩散高度	分散高度		分散高度
createWorld.customize.custom.presets.title	Customize World Presets	自定义世界预设	自定義世界地形方案集		カスタマイズワールドのプリセット
createWorld.customize.custom.presets	Presets	预设	方案集		プリセット
createWorld.customize.custom.preset.waterWorld	Water World	水世界	水世界		水の世界
createWorld.customize.custom.preset.isleLand	Isle Land	空岛	天空島世界		島の世界
createWorld.customize.custom.preset.caveDelight	Caver's Delight	探洞者的喜悦	探洞者世界		洞窟探検家の喜び
createWorld.customize.custom.preset.mountains	Mountain Madness	山脉狂魔	懸崖峭壁		山狂い
createWorld.customize.custom.preset.drought	Drought	旱地	極度乾旱		日照り
createWorld.customize.custom.preset.caveChaos	Caves of Chaos	混沌洞穴	混沌地穴		混沌の洞窟
createWorld.customize.custom.preset.goodLuck	Good Luck	祝你好运	祝你好運		幸運を祈る
gameMode.survival	Survival Mode	生存模式	生存模式		サバイバルモード
gameMode.creative	Creative Mode	创造模式	創造模式		クリエイティブモード
gameMode.adventure	Adventure Mode	冒险模式	冒險模式		アドベンチャーモード
gameMode.spectator	Spectator Mode	旁观模式	旁觀者模式		スペクテイターモード
gameMode.hardcore	Hardcore Mode!	极限模式！	極限模式！		ハードコアモード！
gameMode.changed	Your game mode has been updated to %s	你的游戏模式已被更新为%s	你的遊戲模式已被更新為 %s		ゲームモードが%sに変更されました
spectatorMenu.previous_page	Previous Page	上一页	上一頁		前のページへ
spectatorMenu.next_page	Next Page	下一页	下一頁		次のページへ
spectatorMenu.close	Close Menu	关闭菜单	關閉選單		メニューを閉じる
spectatorMenu.teleport	Teleport to Player	传送到玩家	傳送至玩家		プレイヤーにテレポート
spectatorMenu.teleport.prompt	Select a player to teleport to	选择一个想要传送到的玩家	選擇一位玩家作為傳送目標		テレポート先のプレイヤーを選択
spectatorMenu.team_teleport	Teleport to Team Member	传送到队伍成员	傳送至隊伍成員		チームメンバーにテレポート
spectatorMenu.team_teleport.prompt	Select a team to teleport to	选择一个想要传送到的队伍	選擇一個隊伍作為傳送目標		テレポート先のチームを選択
spectatorMenu.root.prompt	Press a key to select a command, and again to use it.	按下一个键来选择命令，再按一次来使用它。	按下任意鍵以選擇指令，再按一次該按鍵以使用它		キーを押してコマンドを選択してください。もう一度押すことで使用することができます。
selectWorld.gameMode	Game Mode	游戏模式	遊戲模式		ゲームモード
selectWorld.gameMode.survival	Survival	生存	生存		サバイバル
selectWorld.gameMode.survival.line1	Search for resources, crafting, gain	探索世界、收集资源、合成道具、	搜索資源、合成，提升		資材を探し、道具を作り、レベルを
selectWorld.gameMode.survival.line2	levels, health and hunger	提高等级、补充体力和生命值	等級、生命值和飢餓值		貯める必要があり、体力、空腹の要素がある
selectWorld.gameMode.creative	Creative	创造	創造		クリエイティブ
selectWorld.gameMode.creative.line1	Unlimited resources, free flying and	无限的资源、自由地飞翔	無限資源、自由飛行，		アイテムが無制限、飛行可能で、
selectWorld.gameMode.creative.line2	destroy blocks instantly	并且能够瞬间破坏方块	而且能夠瞬間破壞方塊		ブロックを瞬時に破壊できる
selectWorld.gameMode.spectator	Spectator	旁观	旁觀者		スペクテイター
selectWorld.gameMode.spectator.line1	You can look but don't touch	你可以旁观，但不能互动	你可以觀看但是不可觸摸		鑑賞可能、干渉不可
selectWorld.gameMode.spectator.line2					
selectWorld.gameMode.hardcore	Hardcore	极限	極限		ハードコア
selectWorld.gameMode.hardcore.line1	Same as survival mode, locked at hardest	难度锁定在困难的生存模式	與生存模式相同，但是鎖定在		サバイバルモードと同じだが、最高難易度に固定
selectWorld.gameMode.hardcore.line2	difficulty, and one life only	且只有一条生命	最高難度，而且只有一次生命		されていて、命はたったひとつだけ
selectWorld.gameMode.adventure	Adventure	冒险	冒險		アドベンチャー
selectWorld.gameMode.adventure.line1	Same as survival mode, but blocks can't	与生存模式相同，但是方块	與生存模式相同，但無法		サバイバルモードと同じですが、ブロックを
selectWorld.gameMode.adventure.line2	be added or removed	不能被添加或者移除	增加或移除方塊		置いたり破壊することはできません
selectWorld.moreWorldOptions	More World Options...	更多世界的选项…	更多世界選項...		その他のワールド設定…
selectWorld.mapFeatures	Generate Structures:	生成建筑：	生成結構：		構造物の生成：
selectWorld.mapFeatures.info	Villages, dungeons etc	村庄、地牢等等	村莊、地牢等		村、ダンジョンなど
selectWorld.mapType	World Type:	世界类型：	世界類型：		ワールドタイプ：
selectWorld.mapType.normal	Normal	普通	正常		ノーマル
selectWorld.allowCommands	Allow Cheats:	允许作弊：	允許作弊：		チートの許可：
selectWorld.allowCommands.info	Commands like /gamemode, /xp	像/gamemode、/xp的命令	允許使用 /gamemode、/xp 等指令		/gamemode、/xp 等のコマンド
selectWorld.hardcoreMode	Hardcore:	极限：	極限：		ハードコア :
selectWorld.hardcoreMode.info	World is deleted upon death	世界将在死亡后被删除	死亡後將刪除世界		死亡するとワールドが削除されます
selectWorld.bonusItems	Bonus Chest:	奖励箱：	獎勵箱：		ボーナスチェスト：
generator.default	Default	默认	預設		デフォルト
generator.flat	Superflat	超平坦	超平坦		スーパーフラット
generator.largeBiomes	Large Biomes	巨型生物群系	大型生態域		大きなバイオーム
generator.amplified	AMPLIFIED	放大化	巨大化世界		アンプリファイド
generator.customized	Customized	自定义	自定義		カスタマイズ
generator.debug_all_block_states	Debug Mode	调试模式	除錯模式		デバッグモード
generator.amplified.info	Notice: Just for fun, requires beefy computer	注意：只是为了好玩，需要强劲的电脑	注意：這只是為了好玩，需要效能佳的電腦		注意：このオプションを楽しむためには、高性能なコンピューターが必要です
selectServer.title	Select Server	选择服务器	選擇伺服器		サーバー選択
selectServer.empty	empty	空	空		未選択
selectServer.select	Join Server	加入服务器	加入伺服器		サーバーに接続
selectServer.direct	Direct Connect	直接连接	直接連線		ダイレクト接続
selectServer.edit	Edit	编辑	編輯		編集
selectServer.delete	Delete	删除	刪除		削除
selectServer.add	Add Server	添加服务器	新增伺服器		サーバーを追加
selectServer.defaultName	Minecraft Server	Minecraft 服务器	Minecraft 伺服器		Minecraft サーバー
selectServer.deleteQuestion	Are you sure you want to remove this server?	你确定要删除此服务器吗？	你確定真的要刪除這個伺服器嗎？		このサーバーを削除してもよろしいですか？
selectServer.deleteWarning	will be lost forever! (A long time!)	将会永久失去！（真的很久！）	將會永遠消失！（非常久！）		は完全に削除され、二度と元に戻せません！
selectServer.deleteButton	Delete	删除	刪除		削除
selectServer.refresh	Refresh	刷新	重新整理		更新
selectServer.hiddenAddress	(Hidden)	（隐藏）	（隱藏）		（非表示）
addServer.title	Edit Server Info	编辑服务器信息	編輯伺服器資訊		サーバー情報の編集
addServer.enterName	Server Name	服务器名称	伺服器名稱		サーバー名
addServer.enterIp	Server Address	服务器地址	伺服器位址		サーバーアドレス
addServer.add	Done	完成	完成		完了
addServer.hideAddress	Hide Address	隐藏地址	隱藏位址		アドレスを隠す
addServer.resourcePack	Server Resource Packs	服务器资源包	伺服器資源包		サーバーリソースパック
addServer.resourcePack.enabled	Enabled	启用	已啟用		有効
addServer.resourcePack.disabled	Disabled	禁用	已停用		無効
addServer.resourcePack.prompt	Prompt	询问	提示		毎回確認
lanServer.title	LAN World	局域网世界	區網世界		LAN ワールド
lanServer.scanning	Scanning for games on your local network	正在你的本地网络中寻找游戏	正在您的區域網路內尋找可供加入的遊戲		LAN 内のゲームを検索中
lanServer.start	Start LAN World	创造一个局域网世界	開始區網世界		LAN ワールドの開始
lanServer.otherPlayers	Settings for Other Players	对其他玩家的设置	對其他玩家的設定		他のプレイヤーのための設定
mcoServer.title	Minecraft Online World	Minecraft Online世界	線上 Minecraft 世界		オンラインのMinecraftワールド
multiplayer.title	Play Multiplayer	多人游戏	進行多人遊戲		マルチプレイで遊ぶ
multiplayer.connect	Connect	连接	連接		接続
multiplayer.ipinfo	Enter the IP of a server to connect to it:	输入服务器的IP来连接：	請輸入伺服器的 IP 位址：		接続先のサーバー IP アドレスを入力してください：
multiplayer.texturePrompt.line1	This server recommends the use of a custom resource pack.	这个服务器推荐使用自定义的资源包。	此伺服器建議使用該伺服器所提供的資源包。		このサーバーでは、カスタムリソースパックの利用をお勧めします。
multiplayer.texturePrompt.line2	Would you like to download and install it automagically?	你想要自动下载和安装它吗？	您是否希望它自動下載並安裝？		自動的にダウンロードしてインストールしますか？
multiplayer.downloadingTerrain	Loading terrain	加载地形中	載入地形中		地形情報を読み込み中
