en	zh	reason	comment
Decorated Pot	饰纹陶罐		来源：block.minecraft.decorated_pot；陶罐
Pottery Sherd	陶片		来源：item.minecraft.*_pottery_sherd；陶片
Pottery Shard	陶片		来源：item.minecraft.*_pottery_shard；陶片旧名
Angler	垂钓		来源：item.minecraft.angler_pottery_sherd；陶片纹样原子
Angler Pottery Sherd	垂钓纹样陶片		来源：item.minecraft.angler_pottery_sherd；陶片纹样
Angler Pottery Shard	垂钓纹样陶片		来源：item.minecraft.angler_pottery_shard；陶片纹样旧名
Archer	弓箭		来源：item.minecraft.archer_pottery_sherd；陶片纹样原子
Archer Pottery Sherd	弓箭纹样陶片		来源：item.minecraft.archer_pottery_sherd；陶片纹样
Archer Pottery Shard	弓箭纹样陶片		来源：item.minecraft.archer_pottery_shard；陶片纹样旧名
Arms Up	举臂		来源：item.minecraft.arms_up_pottery_sherd；陶片纹样原子
Arms Up Pottery Sherd	举臂纹样陶片		来源：item.minecraft.arms_up_pottery_sherd；陶片纹样
Arms Up Pottery Shard	举臂纹样陶片		来源：item.minecraft.arms_up_pottery_shard；陶片纹样旧名
Blade	利刃		来源：item.minecraft.blade_pottery_sherd；陶片纹样原子
Blade Pottery Sherd	利刃纹样陶片		来源：item.minecraft.blade_pottery_sherd；陶片纹样
Blade Pottery Shard	利刃纹样陶片		来源：item.minecraft.blade_pottery_shard；陶片纹样旧名
Brewer	佳酿		来源：item.minecraft.brewer_pottery_sherd；陶片纹样原子
Brewer Pottery Sherd	佳酿纹样陶片		来源：item.minecraft.brewer_pottery_sherd；陶片纹样
Brewer Pottery Shard	佳酿纹样陶片		来源：item.minecraft.brewer_pottery_shard；陶片纹样旧名
Burn	烈焰		来源：item.minecraft.burn_pottery_sherd；陶片纹样原子
Burn Pottery Sherd	烈焰纹样陶片		来源：item.minecraft.burn_pottery_sherd；陶片纹样
Burn Pottery Shard	烈焰纹样陶片		来源：item.minecraft.burn_pottery_shard；陶片纹样旧名
Danger	危机		来源：item.minecraft.danger_pottery_sherd；陶片纹样原子
Danger Pottery Sherd	危机纹样陶片		来源：item.minecraft.danger_pottery_sherd；陶片纹样
Danger Pottery Shard	危机纹样陶片		来源：item.minecraft.danger_pottery_shard；陶片纹样旧名
Explorer	探险		来源：item.minecraft.explorer_pottery_sherd；陶片纹样原子
Explorer Pottery Sherd	探险纹样陶片		来源：item.minecraft.explorer_pottery_sherd；陶片纹样
Explorer Pottery Shard	探险纹样陶片		来源：item.minecraft.explorer_pottery_shard；陶片纹样旧名
Flow	涡流		来源：item.minecraft.flow_pottery_sherd；陶片纹样原子
Flow Pottery Sherd	涡流纹样陶片		来源：item.minecraft.flow_pottery_sherd；陶片纹样
Flow Pottery Shard	涡流纹样陶片		来源：item.minecraft.flow_pottery_shard；陶片纹样旧名
Friend	挚友		来源：item.minecraft.friend_pottery_sherd；陶片纹样原子
Friend Pottery Sherd	挚友纹样陶片		来源：item.minecraft.friend_pottery_sherd；陶片纹样
Friend Pottery Shard	挚友纹样陶片		来源：item.minecraft.friend_pottery_shard；陶片纹样旧名
Guster	旋风		来源：item.minecraft.guster_pottery_sherd；陶片纹样原子
Guster Pottery Sherd	旋风纹样陶片		来源：item.minecraft.guster_pottery_sherd；陶片纹样
Guster Pottery Shard	旋风纹样陶片		来源：item.minecraft.guster_pottery_shard；陶片纹样旧名
Heart	爱心		来源：item.minecraft.heart_pottery_sherd；陶片纹样原子
Heart Pottery Sherd	爱心纹样陶片		来源：item.minecraft.heart_pottery_sherd；陶片纹样
Heart Pottery Shard	爱心纹样陶片		来源：item.minecraft.heart_pottery_shard；陶片纹样旧名
Heartbreak	心碎		来源：item.minecraft.heartbreak_pottery_sherd；陶片纹样原子
Heartbreak Pottery Sherd	心碎纹样陶片		来源：item.minecraft.heartbreak_pottery_sherd；陶片纹样
Heartbreak Pottery Shard	心碎纹样陶片		来源：item.minecraft.heartbreak_pottery_shard；陶片纹样旧名
Howl	狼嚎		来源：item.minecraft.howl_pottery_sherd；陶片纹样原子
Howl Pottery Sherd	狼嚎纹样陶片		来源：item.minecraft.howl_pottery_sherd；陶片纹样
Howl Pottery Shard	狼嚎纹样陶片		来源：item.minecraft.howl_pottery_shard；陶片纹样旧名
Miner	采矿		来源：item.minecraft.miner_pottery_sherd；陶片纹样原子
Miner Pottery Sherd	采矿纹样陶片		来源：item.minecraft.miner_pottery_sherd；陶片纹样
Miner Pottery Shard	采矿纹样陶片		来源：item.minecraft.miner_pottery_shard；陶片纹样旧名
Mourner	悲恸		来源：item.minecraft.mourner_pottery_sherd；陶片纹样原子
Mourner Pottery Sherd	悲恸纹样陶片		来源：item.minecraft.mourner_pottery_sherd；陶片纹样
Mourner Pottery Shard	悲恸纹样陶片		来源：item.minecraft.mourner_pottery_shard；陶片纹样旧名
Plenty	富饶		来源：item.minecraft.plenty_pottery_sherd；陶片纹样原子
Plenty Pottery Sherd	富饶纹样陶片		来源：item.minecraft.plenty_pottery_sherd；陶片纹样
Plenty Pottery Shard	富饶纹样陶片		来源：item.minecraft.plenty_pottery_shard；陶片纹样旧名
Prize	珍宝		来源：item.minecraft.prize_pottery_sherd；陶片纹样原子
Prize Pottery Sherd	珍宝纹样陶片		来源：item.minecraft.prize_pottery_sherd；陶片纹样
Prize Pottery Shard	珍宝纹样陶片		来源：item.minecraft.prize_pottery_shard；陶片纹样旧名
Scrape	刮削		来源：item.minecraft.scrape_pottery_sherd；陶片纹样原子
Scrape Pottery Sherd	刮削纹样陶片		来源：item.minecraft.scrape_pottery_sherd；陶片纹样
Scrape Pottery Shard	刮削纹样陶片		来源：item.minecraft.scrape_pottery_shard；陶片纹样旧名
Sheaf	麦捆		来源：item.minecraft.sheaf_pottery_sherd；陶片纹样原子
Sheaf Pottery Sherd	麦捆纹样陶片		来源：item.minecraft.sheaf_pottery_sherd；陶片纹样
Sheaf Pottery Shard	麦捆纹样陶片		来源：item.minecraft.sheaf_pottery_shard；陶片纹样旧名
Shelter	树荫		来源：item.minecraft.shelter_pottery_sherd；陶片纹样原子
Shelter Pottery Sherd	树荫纹样陶片		来源：item.minecraft.shelter_pottery_sherd；陶片纹样
Shelter Pottery Shard	树荫纹样陶片		来源：item.minecraft.shelter_pottery_shard；陶片纹样旧名
Skull	头颅		来源：item.minecraft.skull_pottery_sherd；陶片纹样原子
Skull Pottery Sherd	头颅纹样陶片		来源：item.minecraft.skull_pottery_sherd；陶片纹样
Skull Pottery Shard	头颅纹样陶片		来源：item.minecraft.skull_pottery_shard；陶片纹样旧名
Snort	嗅探		来源：item.minecraft.snort_pottery_sherd；陶片纹样原子
Snort Pottery Sherd	嗅探纹样陶片		来源：item.minecraft.snort_pottery_sherd；陶片纹样
Snort Pottery Shard	嗅探纹样陶片		来源：item.minecraft.snort_pottery_shard；陶片纹样旧名
