en	zh	reason	comment
Armor Trim	盔甲纹饰		来源：trim_pattern；盔甲纹样
Bolt	镶铆		来源：trim_pattern.minecraft.bolt；盔甲纹样原子
Bolt Armor Trim	镶铆盔甲纹饰		来源：trim_pattern.minecraft.bolt；盔甲纹样
Coast	海岸		来源：trim_pattern.minecraft.coast；盔甲纹样原子
Coast Armor Trim	海岸盔甲纹饰		来源：trim_pattern.minecraft.coast；盔甲纹样
Dune	沙丘		来源：trim_pattern.minecraft.dune；盔甲纹样原子
Dune Armor Trim	沙丘盔甲纹饰		来源：trim_pattern.minecraft.dune；盔甲纹样
Eye	眼眸		来源：trim_pattern.minecraft.eye；盔甲纹样原子
Eye Armor Trim	眼眸盔甲纹饰		来源：trim_pattern.minecraft.eye；盔甲纹样
Flow	涡流		来源：trim_pattern.minecraft.flow；盔甲纹样原子
Flow Armor Trim	涡流盔甲纹饰		来源：trim_pattern.minecraft.flow；盔甲纹样
Host	雇主		来源：trim_pattern.minecraft.host；盔甲纹样原子
Host Armor Trim	雇主盔甲纹饰		来源：trim_pattern.minecraft.host；盔甲纹样
Raiser	牧民		来源：trim_pattern.minecraft.raiser；盔甲纹样原子
Raiser Armor Trim	牧民盔甲纹饰		来源：trim_pattern.minecraft.raiser；盔甲纹样
Rib	肋骨		来源：trim_pattern.minecraft.rib；盔甲纹样原子
Rib Armor Trim	肋骨盔甲纹饰		来源：trim_pattern.minecraft.rib；盔甲纹样
Sentry	哨兵		来源：trim_pattern.minecraft.sentry；盔甲纹样原子
Sentry Armor Trim	哨兵盔甲纹饰		来源：trim_pattern.minecraft.sentry；盔甲纹样
Shaper	塑造		来源：trim_pattern.minecraft.shaper；盔甲纹样原子
Shaper Armor Trim	塑造盔甲纹饰		来源：trim_pattern.minecraft.shaper；盔甲纹样
Silence	幽静		来源：trim_pattern.minecraft.silence；盔甲纹样原子
Silence Armor Trim	幽静盔甲纹饰		来源：trim_pattern.minecraft.silence；盔甲纹样
Snout	猪鼻		来源：trim_pattern.minecraft.snout；盔甲纹样原子
Snout Armor Trim	猪鼻盔甲纹饰		来源：trim_pattern.minecraft.snout；盔甲纹样
Spire	尖塔		来源：trim_pattern.minecraft.spire；盔甲纹样原子
Spire Armor Trim	尖塔盔甲纹饰		来源：trim_pattern.minecraft.spire；盔甲纹样
Tide	潮汐		来源：trim_pattern.minecraft.tide；盔甲纹样原子
Tide Armor Trim	潮汐盔甲纹饰		来源：trim_pattern.minecraft.tide；盔甲纹样
Vex	恼鬼		来源：trim_pattern.minecraft.vex；盔甲纹样原子
Vex Armor Trim	恼鬼盔甲纹饰		来源：trim_pattern.minecraft.vex；盔甲纹样
Ward	监守		来源：trim_pattern.minecraft.ward；盔甲纹样原子
Ward Armor Trim	监守盔甲纹饰		来源：trim_pattern.minecraft.ward；盔甲纹样
Wayfinder	向导		来源：trim_pattern.minecraft.wayfinder；盔甲纹样原子
Wayfinder Armor Trim	向导盔甲纹饰		来源：trim_pattern.minecraft.wayfinder；盔甲纹样
Wild	荒野		来源：trim_pattern.minecraft.wild；盔甲纹样原子
Wild Armor Trim	荒野盔甲纹饰		来源：trim_pattern.minecraft.wild；盔甲纹样
