en	zh	reason	comment
Absorption	伤害吸收		
Acacia	金合欢木|金合欢		
Advancement	进度		
Adventure	冒险		
Allay	悦灵		
Allium	绒球葱		
Amethyst	紫水晶|紫晶		
Amethyst Bud	紫晶芽		
Amethyst Geode	紫晶洞		
Ancient	远古	可能过于严格，允许发挥	
Ancient City	远古城市		
Ancient Debris	远古残骸		
Andesite	安山岩	可能过于严格，允许发挥	
Anvil	铁砧	可能过于严格，允许发挥	
Aqua Affinity	水下速掘		
Aquifer	含水层		
Armadillo	犰狳		
Armor	护甲|盔甲|铠	可能过于严格，允许发挥	
Armor Stand	盔甲架		
Armorer	盔甲匠		
Arthropod	节肢		
Attack Damage	攻击伤害		
Awkward	粗制的		
Axolotl	美西螈		
Azalea	杜鹃花|杜鹃		
Azure Bluet	蓝花美耳草		
Bad Luck	霉运		
Bad Omen	不祥之兆		
Badlands	恶地		
Bamboo	竹子|竹		
Bamboo Jungle	竹林		
Bamboo Shoot	竹笋		
Ban	封禁		
Bane of Arthropods	节肢杀手		
Banner	旗帜		
Barrel	木桶	可能过于严格，允许发挥	
Barrier	屏障	可能过于严格，允许发挥	
Bars	栏杆		
Basalt	玄武岩		
Bastion Remnant	堡垒遗迹		
Bat	蝙蝠		
Beach	沙滩		
Beacon	信标		
Bedrock	基岩		
Bee	蜜蜂|蜂		
Bee Nest	蜂巢		
Beehive	蜂箱		
Beetroot	甜菜根|甜菜		
Biome	生物群系	可能过于严格，允许发挥	
Birch	白桦木|桦木|白桦		
Birch Forest	桦木森林		
Black	黑色|黑	可能过于严格，允许发挥	
Blackstone	黑石		
Blast Furnace	高炉		
Blast Protection	爆炸保护		
Blastable	可冶炼		
Blaze Powder	烈焰粉		
Blaze Rod	烈焰棒		
Blindness	失明		
Block entity	方块实体		
Blue	蓝色|蓝		
Blue Ice	蓝冰		
Blue Orchid	兰花		
Boat with Chest	运输船		
Bogged	沼骸		
Bone	骨头|骨		
Bone Meal	骨粉		
Bookshelf	书架		
Boots	靴子	可能过于严格，允许发挥	
Bossbar	Boss栏	可能过于严格，允许发挥	
Bottle o' Enchanting	附魔之瓶		
Brain Coral	脑纹珊瑚		
Breach	破甲	可能过于严格，允许发挥	
Breeze	旋风人		
Breeze Rod	旋风棒	可能过于严格，允许发挥	
Brewing Stand	酿造台		
Brick	红砖|砖		
Bricks	砖块|砖		
Brown	棕色|棕	可能过于严格，允许发挥	
Bubble	气泡	可能过于严格，允许发挥	
Bubble Column	气泡柱		
Bubble Coral	气泡珊瑚		
Bucket	铁桶|桶		
Budding	母岩		
Bundle	收纳袋	可能过于严格，允许发挥	
Buried Treasure	埋藏的宝藏		
Button	按钮	可能过于严格，允许发挥	
Cactus	仙人掌		
Calcite	方解石		
Calibrated	校频	可能过于严格，允许发挥	
Camel	骆驼		
Campfire	营火		
Candle	蜡烛		
Cape	披风	可能过于严格，允许发挥	
Carrot on a Stick	胡萝卜钓竿		
Cartographer	制图师		
Cartography Table	制图台		
Cauldron	炼药锅		
cave spider	洞穴蜘蛛		
Chain	链		
Chainmail	锁链		
Channeling	引雷	可能过于严格，允许发挥	
Charcoal	木炭		
Cherry	樱花木|樱花	可能过于严格，允许发挥	
Cherry Grove	樱花树林		
Chest	箱子|箱	可能过于严格，允许发挥	
Chestplate	胸甲		
Chiseled	雕纹	可能过于严格，允许发挥	
Chorus Flower	紫颂花		
Chorus Fruit	紫颂果		
Chorus Plant	紫颂植株		
Chunk	区块	可能过于严格，允许发挥	
Chunks	区块	可能过于严格，允许发挥	
Cinnabar	朱砂		
Clay	黏土		
cleric	牧师		
Coal	煤炭|煤		
Coarse Dirt	砂土		
Cobbled	圆石	可能过于严格，允许发挥	
Cobbled Deepslate	深板岩圆石		
Cobblestone	圆石		
Cobweb	蜘蛛网		
Cocoa Beans	可可豆		
Cold Ocean	冷水海洋		
Command block	命令方块		
Comparator	比较器		
Compass	指南针	可能过于严格，允许发挥	
Component	组件	可能过于严格，允许发挥	
Composter	堆肥桶		
Concrete	混凝土		
Concrete Powder	混凝土粉末		
Conduit	潮涌核心	可能过于严格，允许发挥	
Conduit Power	潮涌能量		
Cookie	曲奇		
Copper	铜		
Coral	珊瑚		
Coral Fan	珊瑚扇		
Coral Reef	珊瑚礁		
Cornflower	矢车菊		
Cracked	裂纹		
Crafter	合成器	可能过于严格，允许发挥	
Crafting Table	工作台		
Creaking Heart	嘎枝之心		
Creeper	苦力怕	可能过于严格，允许发挥	
Crimson	绯红木|绯红		
Crimson Forest	绯红森林		
Crimson Stem	绯红菌柄		
Crying Obsidian	哭泣的黑曜石		
Curse	诅咒		
Curse of Binding	绑定诅咒		
Curse of Vanishing	消失诅咒		
Cut	切制	可能过于严格，允许发挥	
Cyan	青色|青		
