Key,English,简体中文
addServer.add,Done,完成
addServer.enterIp,Server Address,服务器地址
addServer.enterName,Server Name,服务器名称
addServer.hideAddress,Hide Address,隐藏地址
addServer.resourcePack,Server Resource Packs,服务器资源包
addServer.resourcePack.disabled,Disabled,禁用
addServer.resourcePack.enabled,Enabled,启用
addServer.resourcePack.prompt,Prompt,询问
addServer.title,Edit Server Info,编辑服务器信息
advancement.advancementNotFound,Unknown advancement: %s,未知的进度：%s
advancements.adventure.adventuring_time.description,Discover every biome,发现所有的生物群系
advancements.adventure.adventuring_time.title,Adventuring Time,探索的时光
advancements.adventure.arbalistic.description,Kill five unique mobs with one crossbow shot,用弩一发击杀五只不同的生物
advancements.adventure.arbalistic.title,Arbalistic,劲弩手
advancements.adventure.bullseye.description,Hit the bullseye of a Target block from at least 30 meters away,从至少30米外射中标靶的靶心
advancements.adventure.bullseye.title,Bullseye,正中靶心
advancements.adventure.fall_from_world_height.description,Free fall from the top of the world (build limit) to the bottom of the world and survive,从世界顶部（建筑高度限制处）自由落体，坠至世界底部并存活下来
advancements.adventure.fall_from_world_height.title,Caves & Cliffs,上天入地
advancements.adventure.hero_of_the_village.description,Successfully defend a village from a raid,成功在袭击中保卫村庄
advancements.adventure.hero_of_the_village.title,Hero of the Village,村庄英雄
advancements.adventure.honey_block_slide.description,Jump into a Honey Block to break your fall,跳入蜂蜜块以缓解摔落
advancements.adventure.honey_block_slide.title,Sticky Situation,胶着状态
advancements.adventure.kill_a_mob.description,Kill any hostile monster,杀死任意敌对性怪物
advancements.adventure.kill_a_mob.title,Monster Hunter,怪物猎人
advancements.adventure.kill_all_mobs.description,Kill one of every hostile monster,杀死每一种敌对性怪物
advancements.adventure.kill_all_mobs.title,Monsters Hunted,资深怪物猎人
advancements.adventure.lightning_rod_with_villager_no_fire.description,Protect a villager from an undesired shock without starting a fire,在不引发火灾的前提下保护村民免受雷击
advancements.adventure.lightning_rod_with_villager_no_fire.title,Surge Protector,电涌保护器
advancements.adventure.ol_betsy.description,Shoot a crossbow,用弩进行一次射击
advancements.adventure.ol_betsy.title,Ol' Betsy,扣下悬刀
advancements.adventure.play_jukebox_in_meadows.description,Make the Meadows come alive with the sound of music from a jukebox,用唱片机的音乐声为草甸增添生机
advancements.adventure.play_jukebox_in_meadows.title,Sound of Music,音乐之声
advancements.adventure.root.description,"Adventure, exploration and combat",冒险、探索与战斗
advancements.adventure.root.title,Adventure,冒险
